date,btc_usd,eth_usd,sol_usd
2025-02-10,96100.251783,2602.590879,201.42073
2025-02-11,98033.449013,2704.00501,204.518062
2025-02-12,95969.289827,2609.379991,197.058811
2025-02-13,98022.87854,2698.309563,196.240269
2025-02-14,96566.109158,2676.424554,195.302025
2025-02-15,97666.741544,2724.803808,198.622076
2025-02-16,97667.695433,2702.195858,194.196189
2025-02-17,96420.85776,2673.219976,188.907388
2025-02-18,96083.631193,2729.082606,177.607955
2025-02-19,95188.234734,2658.950039,167.553742
2025-02-20,96706.187262,2718.432139,168.414419
2025-02-21,98128.685959,2737.878522,173.86378
2025-02-22,96419.928071,2685.13827,171.994583
2025-02-23,96472.948985,2763.484422,170.978325
2025-02-24,96029.192875,2796.852311,164.402935
2025-02-25,92292.641508,2500.689565,140.464623
2025-02-26,88292.434864,2481.16507,142.244513
2025-02-27,84886.761061,2348.111801,137.285591
2025-02-28,82461.305033,2217.144468,132.070207
2025-03-01,83894.728894,2231.237413,148.970698
2025-03-02,86218.788798,2214.784484,143.971225
2025-03-03,92859.994986,2462.741189,173.223953
2025-03-04,83649.108719,2049.531016,137.301393
2025-03-05,87424.814659,2179.980973,143.70687
2025-03-06,90674.984585,2261.340396,147.121737
2025-03-07,88236.332192,2179.888782,140.455692
2025-03-08,86287.232941,2143.300194,139.717976
2025-03-09,86366.109367,2204.312633,138.228952
2025-03-10,81070.125659,2034.782573,127.30336
2025-03-11,78665.827565,1837.558708,117.873617
2025-03-12,83329.166875,1922.343106,125.88078
2025-03-13,83855.33278,1901.674672,125.127821
2025-03-14,81794.907449,1887.425987,124.948135
2025-03-15,83839.865856,1905.182497,132.777015
2025-03-16,83970.486984,1923.22043,135.558947
2025-03-17,83288.91258,1906.736558,128.475154
2025-03-18,83182.910903,1905.581123,125.124159
2025-03-19,83028.204681,1940.116745,125.019009
2025-03-20,85867.866527,2026.126496,132.987995
2025-03-21,84520.851294,1990.445068,128.427935
2025-03-22,84139.671855,1977.584084,127.8374
2025-03-23,84045.374554,1996.675811,129.086797
2025-03-24,85723.592847,1986.611431,133.582603
2025-03-25,87059.479036,2062.94116,140.3153
2025-03-26,87930.640311,2077.751109,144.461295
2025-03-27,87247.092491,2019.486836,138.243618
2025-03-28,87425.578976,2013.17178,138.975848
2025-03-29,83780.862775,1904.139886,129.330571
2025-03-30,82999.9502,1838.176162,125.162055
2025-03-31,81816.265327,1809.724781,126.111365
2025-04-01,82665.123584,1825.386453,124.514389
2025-04-02,85031.12139,1890.4771,125.889456
2025-04-03,83896.840445,1830.6854,119.82703
2025-04-04,82892.620899,1810.623945,115.527039
2025-04-05,83999.731201,1821.273679,122.221954
2025-04-06,83043.373554,1802.246681,120.210881
2025-04-07,78745.737887,1595.521817,107.175358
2025-04-08,80320.639995,1581.44522,110.342384
2025-04-09,75594.932116,1425.443192,103.896962
2025-04-10,82404.90474,1638.536813,117.143603
2025-04-11,80302.580122,1540.509231,115.035536
2025-04-12,83284.750562,1557.626818,121.052784
2025-04-13,85115.800046,1624.327752,132.60101
2025-04-14,84284.341655,1615.3163,130.113971
2025-04-15,85027.506398,1635.562894,130.059209
2025-04-16,83409.096596,1594.057608,126.215768
2025-04-17,84216.909071,1584.256797,131.925566
2025-04-18,84992.095735,1584.100949,134.793805
2025-04-19,84471.587981,1587.619867,134.859835
2025-04-20,84614.53847,1609.998218,142.080644
2025-04-21,87220.458431,1627.127469,143.004008
2025-04-22,88127.467569,1585.089256,139.006342
2025-04-23,93625.069048,1765.803901,148.285943
2025-04-24,93750.585941,1790.662269,150.163772
2025-04-25,93704.026462,1768.498896,152.708083
2025-04-26,95052.516515,1808.054739,152.488021
2025-04-27,94393.052671,1813.207695,146.971559
2025-04-28,92927.302971,1763.684294,145.100221
2025-04-29,94944.220271,1797.555038,148.763189
2025-04-30,94200.099852,1797.372816,145.522244
2025-05-01,95086.861848,1808.999337,148.849059
2025-05-02,96729.573132,1843.211966,150.520521
2025-05-03,96503.671965,1828.839965,147.887209
2025-05-04,96206.574757,1844.450822,147.26518
2025-05-05,94001.748433,1790.780917,143.372155
2025-05-06,94234.71984,1805.661688,144.924404
2025-05-07,97191.175041,1840.451956,148.825881
2025-05-08,97798.554537,1822.057832,148.194507
2025-05-09,102841.510947,2197.708493,163.059429
2025-05-10,103095.97204,2383.774884,171.485353
2025-05-11,104018.223993,2527.60588,176.67109
2025-05-12,103683.888561,2502.696029,173.891722
2025-05-13,102279.817124,2456.727207,171.301192
2025-05-14,103623.721542,2670.851,182.738362
2025-05-15,103168.298445,2574.319311,174.901124
2025-05-16,104066.935853,2568.097602,171.741153
2025-05-17,102676.783752,2479.256679,164.376967
2025-05-18,103192.78476,2486.401868,167.407563
2025-05-19,104354.722573,2428.470612,167.943453
2025-05-20,106197.697634,2540.153476,170.366922
2025-05-21,106339.990217,2537.269315,168.742807
2025-05-22,109730.939736,2572.7,173.209426
2025-05-23,111353.614538,2672.560554,183.378716
2025-05-24,107569.678259,2530.35797,174.281694
2025-05-25,107698.27252,2512.305271,171.725414
2025-05-26,109661.147056,2560.56439,176.811725
2025-05-27,108111.614431,2528.843995,171.891129
2025-05-28,108765.4039,2638.970147,175.8629
2025-05-29,108064.882155,2718.118844,173.431764
2025-05-30,105650.171153,2597.140185,163.272322
2025-05-31,103145.951521,2478.648304,153.17358
2025-06-01,104456.097102,2533.604463,154.773001
2025-06-02,105214.427002,2525.620526,157.982096
2025-06-03,106507.615294,2647.895559,162.169514
2025-06-04,105640.126346,2614.47888,156.936324
2025-06-05,104773.479737,2606.610364,153.268694
2025-06-06,101972.141211,2422.961339,145.492761
2025-06-07,104066.935853,2523.211655,147.867662
2025-06-08,105568.75165,2515.005782,149.881942
2025-06-09,105685.901501,2498.075857,151.989707
2025-06-10,109583.036546,2704.141745,159.994135
2025-06-11,109566.227306,2784.096904,164.093239
2025-06-12,108409.310192,2771.386652,160.241573
2025-06-13,103815.208928,2495.046086,143.291798
2025-06-14,105527.532133,2558.244185,146.913763
2025-06-15,105613.349527,2537.025348,145.651812
2025-06-16,105826.824984,2565.943464,156.515903
2025-06-17,107250.10725,2581.51988,151.65058
2025-06-18,104826.198163,2520.818812,147.617698
2025-06-19,104816.309418,2506.051488,145.791044
2025-06-20,104752.626672,2527.448086,147.139103
2025-06-21,103614.058355,2423.125143,140.157497
2025-06-22,102214.999029,2269.699802,134.670535
2025-06-23,101084.638168,2241.537803,132.952798
2025-06-24,105459.645867,2414.529868,143.778508
2025-06-25,106407.882696,2458.918238,145.808294
2025-06-26,107704.072291,2464.32884,145.390764
2025-06-27,107183.433728,2426.48008,139.383081
2025-06-28,106721.307976,2474.086419,142.307077
2025-06-29,106853.589212,2423.960364,149.674921
2025-06-30,108563.487928,2510.316775,152.076281
2025-07-01,107321.470733,2493.478307,154.184175
2025-07-02,105806.670052,2412.935846,147.905756
2025-07-03,108939.582108,2577.742789,153.039558
2025-07-04,109518.229309,2590.845403,152.575836
2025-07-05,108055.540548,2513.389454,148.063765
2025-07-06,108288.39365,2518.217414,147.569564
2025-07-07,109247.828699,2570.081628,151.708861
2025-07-08,107786.496508,2527.704909,148.618823
2025-07-09,108822.217144,2606.492146,151.554861
2025-07-10,111295.366774,2778.643016,158.281882
2025-07-11,114805.290228,2929.434607,164.336355
2025-07-12,117468.782671,2960.030121,163.427902
2025-07-13,117401.206884,2942.267706,160.911317
2025-07-14,118998.036532,2978.42252,163.113229
2025-07-15,118559.267778,2981.795542,161.166121
2025-07-16,117497.767542,3131.466478,163.476312
2025-07-17,118260.62276,3351.066058,171.886118
2025-07-18,120226.988554,3606.516109,179.371576
2025-07-19,118148.843914,3548.12877,176.492685
2025-07-20,117963.478507,3610.865672,177.465442
2025-07-21,117805.056193,3726.526609,180.871291
2025-07-22,117612.466921,3782.441528,202.850763
2025-07-23,119250.629047,3746.701966,203.196715
2025-07-24,119063.210659,3644.990998,191.621154
2025-07-25,117229.171307,3685.054598,183.121404
2025-07-26,117307.556953,3709.75335,185.042877
2025-07-27,118439.909512,3769.01089,186.454179
2025-07-28,119337.438541,3866.022226,189.668859
2025-07-29,117764.823647,3748.14701,181.355021
2025-07-30,118073.512569,3809.635559,182.158464
2025-07-31,118222.873762,3843.110398,179.58836
2025-08-01,115874.855156,3716.698382,171.606379
2025-08-02,113567.964748,3515.694765,164.817144
2025-08-03,113365.831538,3432.261404,160.163546
2025-08-04,115088.042352,3512.463097,163.452651
2025-08-05,114673.638824,3678.293508,168.167291
2025-08-06,113694.502871,3587.536611,162.936576
2025-08-07,114979.533643,3680.93914,167.958965
2025-08-08,116834.71393,3888.997133,174.014756
2025-08-09,116639.839504,4035.266616,178.713883
2025-08-10,116837.444064,4284.038614,184.784456
2025-08-11,121062.444009,4316.330015,185.07152
2025-08-12,119006.533459,4269.814716,176.172804
2025-08-13,119348.832768,4573.877033,193.606588
2025-08-14,123338.020178,4723.382207,202.542668
2025-08-15,118729.593351,4603.350041,193.732993
2025-08-16,117955.129869,4491.900878,188.121766
2025-08-17,117630.452171,4417.132822,188.841321
2025-08-18,116161.557494,4362.902761,186.022061
2025-08-19,115826.538176,4297.690721,183.216547
2025-08-20,113087.631606,4116.518891,179.411497
2025-08-21,114531.794026,4324.855463,187.705585
2025-08-22,113030.111222,4172.699696,181.998214
2025-08-23,116517.524236,4742.642856,197.175127
2025-08-24,115277.761767,4775.804628,208.153233
2025-08-25,113068.451641,4733.933975,207.048322
2025-08-26,109795.999034,4416.742634,188.201452
2025-08-27,111292.889497,4555.480745,195.99062
2025-08-28,111613.371282,4522.956947,205.631486
2025-08-29,111716.864778,4465.386113,214.20941
2025-08-30,108112.783255,4322.952195,203.457657
2025-08-31,109215.613464,4459.024464,206.299406
2025-09-01,108295.429933,4414.284093,200.883469
2025-09-02,109531.424566,4338.483258,199.937
2025-09-03,111003.807431,4292.934387,208.153584
2025-09-04,111983.336879,4468.424992,210.885158
2025-09-05,111038.319324,4330.867915,203.434739
2025-09-06,110872.120097,4320.203084,204.269189
2025-09-07,110617.021747,4357.002312,203.011147
2025-09-08,110900.40035,4291.014915,206.708441
2025-09-09,111410.682056,4287.780383,212.85484
2025-09-10,111075.320175,4303.694507,215.99137
2025-09-11,113904.297609,4367.262303,225.295178
2025-09-12,115612.282649,4513.207677,232.019563
2025-09-13,115950.095079,4718.568085,243.043334
2025-09-14,115951.439537,4673.624447,245.787237
2025-09-15,115273.775216,4619.394249,241.23384
2025-09-16,115259.160222,4532.602557,235.162725
2025-09-17,116652.085156,4507.162105,236.261813
2025-09-18,116842.904715,4628.001259,247.226166
2025-09-19,117123.448114,4602.286509,247.025986
2025-09-20,115805.076895,4475.08986,239.151439
2025-09-21,115866.799527,4487.287068,240.150895
2025-09-22,114474.105957,4337.318462,233.555388
2025-09-23,112429.029175,4178.933578,218.244627
2025-09-24,112417.654068,4188.248362,215.981065
2025-09-25,112803.158488,4100.452895,209.310832
2025-09-26,109979.543805,3954.497964,196.354818
2025-09-27,109479.86118,4016.812771,203.924053
2025-09-28,109818.90862,4004.869921,201.376651
2025-09-29,112071.187618,4127.938009,209.483024
2025-09-30,114533.105794,4203.446826,210.557186
2025-10-01,114550.161516,4171.57,210.601028
2025-10-02,118798.70747,4372.031937,222.55042
